Material_Name,Chemical_Composition,Material_Class,Film_Thickness,Substrate,Material_Type,Superconductor_Type,Superconducting_Transition_Temperature,Pressure,Crystal_Structure,Lattice_Structure,Space_Group,"Lattice_Constant(a)","Lattice_Constant(b)","Lattice_Constant(c)",Lower_Critical_Field,Upper_Critical_Field,Experimental,DOI
Lanthanum Platinum Silicide,LaPtSi3,Bulk,,,SC,Noncentrosymmetric,,,,,,,,,,,FALSE,10.1103/PhysRevB.99.094517
LaPtSi3,LaPtSi3,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.99.134509
LaPtSi3,LaPtSi3,Bulk,,,SC,Type-II,1.52 K,ambient,Tetragonal,BaNiSn3-type,I4mm (No. 107),4.3474 Å,4.3474 Å,9.6368 Å,,526 G,TRUE,10.1103/PhysRevB.89.094509
LaPtSi3,LaPtSi3,Bulk,,,SC,Type-II,1.52 K,,,,,,,,,,,10.1016/j.jallcom.2016.04.245
LaPtSi3,LaPtSi3,Bulk,,,SC,Type-II,1.52 K,,Body-Centred Tetragonal,Tetragonal,I4mm,4.376,,9.672,,,FALSE,10.1016/j.intermet.2017.03.004
LaPt₁.₅Au₀.₆B₂C,LaPt₁.₅Au₀.₆B₂C,Bulk,,,SC,,11 K,,,,,3.8729 Å,,10.7401 Å,,,TRUE,Handbook of SC
LaPt₂B₂C,LaPt₂B₂C,Bulk,,,SC,,10 K,,,,,3.8681 Å,,10.705 Å,,,TRUE,Handbook of SC
LaPt₂B₂C,LaPt₂B₂C,Bulk,,,SC,Type-II,10.0 K,,Tetragonal,borocarbide,tI12,,,,,,TRUE,Handbook of SC
LaRh2,LaRh2,Bulk,,,SC,,2.60 K,,,,,,,,,,True,10.1103/PhysRev.137.A119
LaRh2As2,LaRh2As2,Bulk,,,SC,,0.3 K,ambient,Tetragonal,,,,,,,"10 mT (H // c), 12 mT (H // ab)",,10.1103/PhysRevB.106.184509
LaRh2As2,LaRh2As2,,,,NSC,,,,,,,,,,,,FALSE,10.1103/PhysRevX.14.021048
LaRh2B2C,LaRh2B2C,Bulk,,,NSC,,Not superconducting above 1.4 K,,Tetragonal,LuNi2B2C structure type,I4/mmm,3.9019(2) Å,3.9019(2) Å,10.2460(6) Å,,,True,10.1103/PhysRevB.50.12966
LaRh2B2C,LaRh2B2C,Bulk,,,SC,Type-II,0.20 K,,Body-centred tetragonal,Tetragonal,I4/mmm,3.902 Å,,10.318 Å,,,FALSE,10.1016/j.physc.2019.1353585
LaRh2Si2,LaRh2Si2,Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.60.14897
LaRh2Si2,LaRh2Si2,Bulk,,,SC,Type-I,0.074 K,,Tetragonal,ThCr2Si2-type,,4.112 Å,4.112 Å,10.29 Å,,0.73 mT,True,10.1103/PhysRevB.34.4566
Lanthanum rhodium silicide,LaRh2Si2,,,,SC,Type-I,,,,,,,,,,,FALSE,10.1103/PhysRevB.72.180504
LaRh2Si2,LaRh2Si2,Bulk,,,SC,Type-II,3.8±0.2K,,,,,,,,,,TRUE,10.1016/0038-1098(83)90076-5
LaRh2Si2,LaRh2Si2,Bulk,,,SC,Type-II,3.72 K,,Body-centered tetragonal,Tetragonal,I4/mmm (139),4.143 Å,4.143 Å,10.307 Å,,,FALSE,10.1016/j.jmrt.2023.08.177
LaRh3,LaRh3,Bulk,,,SC,Type-II,2.6 K,0 GPa,Rhombohedral,PuNi3-type,Pnma,5.305 Å,17.59 Å,3.315 Å,,0.8 T,TRUE,10.1016/j.physc.2020.1353619
LaRh3B2,LaRh3B2,Bulk,,,SC,Type-II,2.22 K,,Hexagonal,CeCo3B2-type,P6/mmm,5.483 Å,5.483 Å,3.142 Å,,dHc2/dT = -0.96 kOe/K at Tc,True,10.1103/PhysRevB.32.4742
LaRh3B2,LaRh3B2,Bulk,,,SC,,2.5 K,,,,,,,,,,,10.1103/PhysRevB.41.9013
LaRh3B2,LaRh3B2,Bulk,,,SC,,2.7 K,,,,,,,,,,FALSE,10.1016/j.jmmm.2003.11.215
LaRh3B2,LaRh3B2,Bulk,,,SC,,2.5 K,,,,,,,,,,TRUE,10.1016/j.physb.2004.06.023
LaRh3B2,LaRh3B2,Bulk,,,SC,Type-II,2.60-2.82 K,,,,,,,,,,FALSE,10.1016/j.physc.2024.1354583
LaRh4P12,LaRh4P12,Bulk,,,SC,Type-II,up to 17 K,,Cubic,Filled Skutterudite,,,,,,,FALSE,10.1103/PhysRevLett.100.017002
LaRh4P12,LaRh4P12,Bulk,,,SC,,13.6 ~ 17 K,dTc/dP = -(0.3 ~ 0.5) K/GPa,Cubic,skutterudite,Im-3 (No. 204),,,,,,FALSE,10.1103/PhysRevB.88.024514
LaRh5,LaRh5,Bulk,,,SC,,1.62 K,,,,,,,,,,True,10.1103/PhysRev.137.A119
LaRhAl,LaRhAl,Bulk,,,SC,Type-II,2.4 K,,Orthorhombic,Pd2(MnPd)Ge2-type,Pnma,7.246 Å,4.256 Å,16.256 Å,,,True,10.1103/PhysRevB.62.127
LaRhAl,LaRhAl,Bulk,,,SC,Type-II,2.4 K,,Orthorhombic,Pd2(MnPd)Ge2-type,,,,,,,FALSE,10.1016/j.ssc.2004.06.024
LaRhAl,LaRhAl,,,,SC,,2.40 K,,Orthorhombic,,Pnma,,,,,,FALSE,10.1016/j.jallcom.2023.172100
LaRhAl,LaRhAl,Bulk,,,SC,Type-II,2.4 K,,Orthorhombic,Pd2(MnPd)Ge2 type,Pnma,7.246,4.256,16.256,,,TRUE,10.1016/S0038-1098(00)00034-X
LaRhBi,LaRhBi,Bulk,,,SC,Type-II,2.4 K,,,,,,,,,,TRUE,10.1016/S0921-4526(96)00728-4
LaRhGe3,LaRhGe3,,,,NSC,,NSC down to 0.35 K,,,,,,,,,,,10.1103/PhysRevB.98.184516
LaRhIn5,LaRhIn5,Bulk,,,NSC,,,ambient,,,,,,,,,TRUE,10.1103/PhysRevB.94.045101
LaRhIn5,LaRhIn5,Bulk,,,NSC,,,ambient,Tetragonal,HoCoGa5-type,,,,,,,FALSE,10.1103/PhysRevLett.101.056402
LaRhSb,LaRhSb,,,,SC,,2.1 K,,,,,,,,,,,10.1103/PhysRevB.62.127
LaRhSb,LaRhSb,Bulk,,,SC,Type-II,2.1 K,,Orthorhombic,TiNiSi-type,Pnma,7.547 Å,4.696 Å,7.898 Å,,0.5 T,True,10.1103/PhysRevB.48.9858
LaRhSb,LaRhSb,Bulk,,,SC,,2.5 K,,Orthorhombic,ε-TiNiSi-type,Pnma,7.541 Å,4.658 Å,7.924 Å,,,True,10.1103/PhysRevB.51.399
LaRhSi,LaRhSi,Bulk,,,SC,,0.36 K,,,,,,,,,,True,10.1103/PhysRevB.34.4566
LaRhSi,LaRhSi,Bulk,,,SC,,4.35 K,,Cubic,ZrSO type,P2₁3,6.296 Å,6.296 Å,6.296 Å,,,TRUE,Handbook of SC
LaRhSi,LaRhSi,Bulk,,,SC,,4.4 K,,Cubic,ZrSO,P213,,,,,,TRUE,Handbook of SC
LaRhSi,LaRhSi,Bulk,,,SC,,4.4 K,,,cP12,,,,,,,TRUE,Handbook of SC
LaRhSi,LaRhSi,Bulk,,,SC,,>4.2 K,,Cubic,,P2₁3,,,,,,TRUE,Handbook of SC
LaRhSi3,LaRhSi3,Bulk,,,SC,Noncentrosymmetric,,,Tetragonal,Noncentrosymmetric,,,,,,Low (dominated by orbital depairing),FALSE,10.1103/PhysRevResearch.3.023179
LaRhSi3,LaRhSi3,,,,SC,Type-I/Type-II,,,,,,,,,,,,10.1103/PhysRevB.110.064506
Lanthanum Rhodium Trisilicide,LaRhSi3,Bulk,,,SC,Type-I,,,,,,,,,,,FALSE,10.1103/PhysRevB.96.220506
LaRhSi3,LaRhSi3,Bulk,,,NSC,,,Ambient,,,,,,,,,TRUE,10.1103/PhysRevB.76.054506
LaRhSi3,LaRhSi3,Bulk,,,SC,"Nonmagnetic, noncentrosymmetric, conventional",,ambient,Tetragonal,BaNiSn3-type,I4mm,,,,,,FALSE,10.1103/PhysRevB.97.184422
LaRhSi3,LaRhSi3,Bulk,,,SC,Noncentrosymmetric,,,,,,,,,,,FALSE,10.1103/PhysRevLett.112.107002
Lanthanum Rhodium Silicide,LaRhSi3,,,,SC,Type-II/1,,,,,,,,,,,FALSE,10.1103/PhysRevB.100.224501
LaRhSi3,LaRhSi3,,,,SC,Type-I,2.16 K,,Tetragonal,BaNiSn3-type,I4mm,,,,,17.2 mT,,10.1103/PhysRevB.98.184516
LaRhSi3,LaRhSi3,Bulk,,,SC,"Type-I, Noncentrosymmetric",2.16 K,ambient pressure,Tetragonal,BaNiSn3-type,I4mm (No. 107),4.2693 Å,4.2693 Å,9.8292 Å,,17.2 mT,TRUE,10.1103/PhysRevB.83.064522
Lanthanum rhodium silicide,LaRhSi3,,,,SC,Type-II/1,,,,Noncentrosymmetric,,,,,,Hc3/Hc2 = 6.7,FALSE,10.1103/PhysRevB.102.064507
Lanthanum Rhodium Silicide,LaRhSi3,Bulk,,,SC,Noncentrosymmetric,,,,,,,,,,,FALSE,10.1103/PhysRevB.99.094517
LaRhSi3,LaRhSi3,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.99.134509
LaRhSi3,LaRhSi3,Bulk,,,SC,Type-I,,,Tetragonal,BaNiSn3-type,I4mm,,,,,,FALSE,10.1103/PhysRevB.89.094509
LaRhSi3,LaRhSi3,Bulk,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.93.174504
LaRhSi3,LaRhSi3,,,,SC,,,,,Noncentrosymmetric,,,,,,,FALSE,10.1103/PhysRevB.98.214505
LaRhSi3,LaRhSi3,Bulk,,,SC,Type-II/1,,,,Noncentrosymmetric,,,,,,,FALSE,10.1103/PhysRevB.99.224505
LaRhSi₂,LaRhSi₂,Bulk,,,SC,,3.4 K,,,oS16,,,,,,,TRUE,Handbook of SC
LaRhSi₃,LaRhSi₃,Bulk,,,SC,,2.7 K,,,tI10,,,,,,,TRUE,Handbook of SC
LaRhSn,LaRhSn,Bulk,,,SC,,1.7 K,,,,,,,,,,TRUE,10.1103/PhysRevB.79.094424
LaRhSn,LaRhSn,Bulk,,,SC,Type-II,1.9 K,,Hexagonal,ZrNiAl-type,P-62m,,,,,0.219 T,TRUE,10.1103/PhysRevB.105.134523
LaRhSn,LaRhSn,Bulk,,,SC,Type-II,1.85 K,,Hexagonal,ZrNiAl-type,P6̅2m,0.7479 nm,,0.4217 nm,,"0.5 T (I ∥ a, B ∥ c), 0.7 T or 0.8 T (I ∥ c, B ∥ a)",TRUE,10.1016/j.jallcom.2007.01.121
LaRhSn,LaRhSn,,,,SC,,1.7 K,,,,,,,,,,FALSE,10.1016/j.jssc.2006.02.024
LaRh₂B₂C,LaRh₂B₂C,Bulk,,,SC,Type-II,<4.2 K,,Tetragonal,borocarbide,tI12,,,,,,TRUE,Handbook of SC
LaRh₃,LaRh₃,Bulk,,,SC,,2.6 K,,,,,,,,,,TRUE,Handbook of SC
LaRh₃B₂,LaRh₃B₂,Bulk,,,SC,Classical,2.82 K,,Hexagonal,CeCo₂B₂ type,P6/mmm,5.480 Å,5.480 Å,3.137 Å,,,TRUE,Handbook of SC
LaRh₃B₂,LaRh₃B₂,Bulk,,,SC,,2.8 K,,Hexagonal,CeCo₃B₂ type,hP6,,,,,,TRUE,Handbook of SC
LaRh₅,LaRh₅,Bulk,,,SC,,1.6 K,,,,,,,,,,TRUE,Handbook of SC
LaRu2,LaRu2,,,,SC,,3.2 K,,,,,,,,,,,10.1103/PhysRevB.26.445
LaRu2,LaRu2,Bulk,,,SC,Type-II,3.08 K,,Cubic,Laves phase,,7.7187 Å,,,,> 9 kOe,True,10.1103/PhysRevB.6.3286
LaRu₂,LaRu2,Bulk,,,SC,Type-II,4.45 K,,Cubic,MgCu2-type,,7.702 Å,,,,,False,10.1103/PhysRevB.44.2283
LaRu2,LaRu2,Bulk,,,SC,Type-II,3.9 K,,,,,,,,,,True,10.1103/PhysRevLett.30.437
LaRu2:Gd,LaRu2,Bulk,,,SC,Type-II,3.5 K,,Cubic,,,,,,,measured at microwave frequency,True,10.1103/PhysRevB.9.147
Lanthanum ruthenium,LaRu2,Bulk,,,SC,,,,,Laves phase,,,,,,,,10.1103/PhysRevLett.9.290
LaRu2,LaRu2,Bulk,,,SC,Type-II,<4.21 K,8 GPa,Cubic,Laves phase C15,,,,,,,True,10.1103/PhysRevB.65.174513
LaRu2,LaRu2,Bulk,,,SC,Type-II,4.29 K,ambient pressure,Cubic,C15,,,,,,,True,10.1103/PhysRevB.33.162
Lanthanum Ruthenium,LaRu2,Bulk,,,SC,,1.63 K,,,Laves phase,,,,,,,True,10.1103/PhysRevLett.1.92
LaRu2,LaRu2,Bulk,,,SC,Type-II,4.4 K,,Laves phase,,,,,,,,TRUE,10.1016/j.jmmm.2003.11.085
LaRu2,LaRu2,Bulk,,,SC,Type-II,4.4 K,,,,,,,,,,TRUE,10.1016/S0925-8388(00)01384-0
LaRu2.7Ir0.3Si2,LaRu2.7Ir0.3Si2,Bulk,,,SC,Type-II,6.05 K,,Hexagonal,Distorted kagome-honeycomb,P6_3/mmc,,,,21.8 mT,4.21 T,TRUE,10.1103/PhysRevB.107.024503
LaRu2.7Rh0.3Si2,LaRu2.7Rh0.3Si2,Bulk,,,SC,Type-II,5.8 K,,Hexagonal,Distorted kagome-honeycomb,P6_3/mmc,,,,26.3 mT,3.90 T,TRUE,10.1103/PhysRevB.107.024503
LaRu2.85Ir0.15Si2,LaRu2.85Ir0.15Si2,Bulk,,,SC,Type-II,6.55 K,,Hexagonal,Distorted kagome-honeycomb,P6_3/mmc,,,,19.1 mT,5.13 T,TRUE,10.1103/PhysRevB.107.024503
LaRu2.85Rh0.15Si2,LaRu2.85Rh0.15Si2,Bulk,,,SC,Type-II,6.55 K,,Hexagonal,Distorted kagome-honeycomb,P6_3/mmc,,,,24.4 mT,4.61 T,TRUE,10.1103/PhysRevB.107.024503
"LaRu3Si2 (Fe-doped, 3%)",LaRu2.91Fe0.09Si2,,,,NSC,,NSC,,,,,,,,NSC,NSC,FALSE,10.1103/PhysRevB.107.024503
LaRu2As2,LaRu2As2,Bulk,,,SC,Type-II,7.8K,,ThCr2Si2-type,Body-centered tetragonal,I4/mmm,4.182,,10.590,,1.6T,TRUE,10.1007/s11434-016-1080-4
LaRu2As2,LaRu2As2,Bulk,,,SC,Type-II,7.8 K,,ThCr2Si2-type,Tetragonal,I4/mmm (139),4.209 Å,4.209 Å,10.921 Å,,,FALSE,10.1016/j.jallcom.2016.11.418
LaRu2As2,LaRu2As2,Bulk,,,SC,Type-II,7.8 K,,ThCr2Si2-type,,,,,,,,,10.1016/j.physc.2019.02.007
LaRu2As2,LaRu2As2,Bulk,,,SC,Type-II,7.8 K,,ThCr2Si2-type,,,,,,,,FALSE,10.1016/j.mtcomm.2022.103785
LaRu2As2,LaRu2As2,Bulk,,,SC,Type-II,7.8 K,,ThCr2Si2-type,,,,,,,,FALSE,10.1016/j.jallcom.2017.09.209
LaRu2Os2P12,LaRu2Os2P12,Bulk,,,SC,Type-II,7 K,,Skutterudite,,,,,,,,TRUE,10.1016/0022-3697(95)00197-2
LaRu2P1.6B0.4,LaRu2P1.6B0.4,Bulk,,,SC,Type-II,2.0 K,,Tetragonal,,,4.037,,10.477,,,TRUE,10.1016/j.materresbull.2004.04.011
LaRu2P2,LaRu2P2,Bulk,,,SC,,4.1 K,,Tetragonal,CeAl2Ga2,I4/mmm,,,,,,TRUE,Handbook of SC
LaRu2P2,LaRu2P2,Bulk,,,SC,Low Tc,4 K,,Tetragonal,ThCr2Si2-type,I4/mmm,4.031,4.031,10.675,,,TRUE,10.1103/PhysRevB.91.214502
LaRu2P2,LaRu2P2,Bulk,,,SC,,4.1 K,ambient pressure,Tetragonal,ThCr2Si2-type,,,,,,,FALSE,10.1103/PhysRevB.79.180502
LaRu2P2,LaRu2P2,Bulk,,,SC,,4.1 K,,Tetragonal,ThCr2Si2-type,,,,,,,TRUE,10.1103/PhysRevB.93.054506
LaRu2P2,LaRu2P2,Bulk,,,SC,,,,,,,,,,,,TRUE,10.1103/PhysRevB.97.094105
LaRu2P2,LaRu2P2,,,,SC,,4.1 K,,,,,,,,,,FALSE,10.1103/PhysRevB.84.214527
LaRu2P2,LaRu2P2,,,,SC,,4.10 K,,Un-collapsed Tetragonal,,,,,,,,FALSE,10.1016/j.jallcom.2014.06.054
LaRu2P2,LaRu2P2,Bulk,,,SC,Low-Tc,4.1 K,,,,,,,,,,FALSE,10.1016/j.jallcom.2013.01.198
LaRu2P2,LaRu2P2,,,,SC,,4.1K,,ThCr2Si2-type,,,,,,,,FALSE,10.1007/s11434-016-1080-4
LaRu2P2,LaRu2P2,Bulk,,,SC,Type-II,4 K,,ThCr2Si2-type,Tetragonal,I4/mmm (139),4.035 Å,4.035 Å,11.019 Å,,,FALSE,10.1016/j.jallcom.2016.11.418
LaRu2P2,LaRu2P2,,,,SC,,4.1 K,,,,,,,,,,FALSE,10.1016/j.solidstatesciences.2007.08.016
LaRu2P2,LaRu2P2,Bulk,,,SC,Type-II,4.0 K,,ThCr2Si2-type,,,,,,,,,10.1016/j.physc.2019.02.007
LaRu2P2,LaRu2P2,Bulk,,,SC,Type-II,4.0 K,,ThCr2Si2-type,,,,,,,,FALSE,10.1016/j.mtcomm.2022.103785
LaRu2P2,LaRu2P2,Bulk,,,SC,Type-II,4.0 K,,Tetragonal,,,4.032,,10.632,,,TRUE,10.1016/j.materresbull.2004.04.011
LaRu2P2,LaRu2P2,Bulk,,,SC,,4.1 K,,ThCr2P2-type,,,,,,,,FALSE,10.1016/j.ssc.2008.05.010
LaRu2Zn20,LaRu2Zn20,Bulk,,,SC,,0.2 K,,,CeCr2Al20-type,,,,,,,FALSE,10.1103/PhysRevB.93.134507
LaRu3B2,LaRu3B2,,,,SC,,,,,kagome,,,,,,,FALSE,10.1103/PhysRevB.107.024503
LaRu3OsP12,LaRu3OsP12,Bulk,,,SC,Type-II,7 K,,Skutterudite,,,,,,,,TRUE,10.1016/0022-3697(95)00197-2
LaRu3Si2,LaRu3Si2,Bulk,,,SC,,7 K,,Hexagonal,,P63/m or P63,,,7.12 Å,,,,10.1103/PhysRevB.30.444
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7.5 K,,Hexagonal,,,5.67 Å,,7.120 Å,~10² G,~2×10⁴ G,True,10.1103/PhysRevB.49.12051
LaRu3Si2,LaRu3Si2,Bulk,,,SC,,,,,kagome,,,,,,,FALSE,10.1103/PhysRevB.108.104504
LaRu3Si2,LaRu3Si2,Bulk,,,SC,,7 K,,,Kagome,,,,,,,FALSE,10.1103/PhysRevB.104.035131
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7.3 K,,Hexagonal,Distorted kagome-honeycomb,P6_3/mmc,,,,24.5 mT,3.97 T,TRUE,10.1103/PhysRevB.107.024503
LaRu3Si2,LaRu3Si2,Bulk,,,SC,,< 7 K,,,kagome,,,,,,,TRUE,10.1103/PhysRevMaterials.7.014205
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7.8 K,,Hexagonal,"Kagome (Ru), honeycomb (Si), triangle (La)",P63/m or P63,5.68,5.68,3.565,,,TRUE,10.1103/PhysRevB.84.214527
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7 K,ambient,,kagome,,,,,,,TRUE,10.1103/PhysRevB.109.134501
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Kagome/Flat-band,,,,Kagome,,,,,,,FALSE,10.1103/PhysRevB.104.054509
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,6.5 K,0 GPa,Hexagonal,Distorted kagome,P6_3/m,,,,,8.5 T,TRUE,10.1103/PhysRevMaterials.5.034803
LaRu3Si2,LaRu3Si2,Bulk,,,SC,BCS,6.5 K,,,,,,,,,,TRUE,10.1016/j.jmmm.2003.11.215
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7 K,,,,,,,,,,TRUE,10.1016/j.physc.2004.04.027
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,7.5 K,,CaCu5-type,Hexagonal,P6/mmm,5.664,5.664,3.549,,10.2 T,TRUE,10.1016/j.physc.2024.1354583
LaRu3Si2,LaRu3Si2,Bulk,,,SC,Type-II,6.5 K,,,,,,,,,,TRUE,10.1016/S0921-4526(02)02121-X
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.3 K,4 GPa,Cubic,skutterudite,,8.5081 Å,,,,,True,10.1103/PhysRevB.56.7866
LaRu4As12,LaRu4As12,Bulk,,,NSC,,,,Cubic,filled skutterudite,,,,,,,TRUE,10.1103/PhysRevB.82.104513
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.3 K,,Cubic,Filled Skutterudite,,,,,,,FALSE,10.1103/PhysRevLett.100.017002
LaRu4As12,LaRu4As12,single crystal,,,SC,Type-II,10.45 K,,Cubic,skutterudite,,,,,,10.2 T,TRUE,10.1103/PhysRevB.86.060511
LaRu4As12,LaRu4As12,Bulk,,,SC,,10.3 K,dTc/dP = -0.40 K/GPa,Cubic,skutterudite,Im-3 (No. 204),,,,,,FALSE,10.1103/PhysRevB.88.024514
LaRu4As12,LaRu4As12,Bulk,,,SC,Conventional,10.3 K,,Skutterudite,Cubic,,,,,,,FALSE,10.1016/j.ssc.2011.01.012
LaRu4As12,LaRu4As12,,,,SC,,10.3K,,,,,,,,,,FALSE,10.1007/s11434-016-1080-4
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.3 K,,Skutterudite,,,,,,,,FALSE,10.1016/j.jmmm.2006.10.023
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.4 K,,bcc,,,,,,370 Gs at 0.4 K,10.2 T,TRUE,10.1016/j.physb.2017.10.007
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.3 K,,Skutterudite,Cubic,,8.5097,8.5097,8.5097,,0.72 T,TRUE,10.1016/S0022-3697(98)00292-3
LaRu4As12,LaRu4As12,Bulk,,,SC,Type-II,10.3,0,Skutterudite,Cubic,,8.5081,8.5081,8.5081,,,TRUE,10.1016/S0921-4526(99)00834-0
LaRu4P12,LaRu4P12,,,,SC,,7.02 K,,,,,,,,,,,10.1103/PhysRevB.36.8660
LaRu4P12,LaRu4P12,,,,SC,,7.2 K,,Cubic,skutterudite,,8.0561 Å,,,,,,10.1103/PhysRevB.56.7866
LaRu4P12,LaRu4P12,,,,SC,,7.3 K,,Cubic,skutterudite,,,,,,,,10.1103/PhysRevB.86.060511
LaRu4P12,LaRu4P12,Bulk,,,SC,,7.2 K,dTc/dP = -0.16 K/GPa,Cubic,skutterudite,Im-3 (No. 204),,,,,,FALSE,10.1103/PhysRevB.88.024514
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.2 K,0 GPa,,,,,,,,,TRUE,10.1016/0038-1098(85)90108-5
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7 K,,Skutterudite,,,,,,,3.65 T,TRUE,10.1016/0022-3697(95)00197-2
LaRu4P12,LaRu4P12,,,,SC,,7.2K,,,,,,,,,,FALSE,10.1007/s11434-016-1080-4
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.2 K,,Skutterudite,Cubic,,8.061,8.061,8.061,,,FALSE,10.1016/j.jmmm.2006.10.023
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.02 K,,Filled Skutterudite,Cubic,Im 3,,,,,,TRUE,10.1016/S0038-1098(98)00595-X
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.02 K,,Filled Skutterudite,Cubic,Im3,,,,,,FALSE,10.1016/S0921-4526(99)00826-1
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.2 K,,,,,,,,,,TRUE,10.1016/j.physb.2007.10.261
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.2 K,,Skutterudite,Cubic,,8.0605,8.0605,8.0605,,3.65 T,TRUE,10.1016/S0022-3697(98)00292-3
LaRu4P12,LaRu4P12,Bulk,,,SC,Type-II,7.20 K,,,,,,,,,,,10.1016/0378-4363(81)90686-0
LaRu4P12,LaRu4P12,Bulk,,,SC,,7.2,0,Skutterudite,Cubic,,8.0516,8.0516,8.0516,,,FALSE,10.1016/S0921-4526(99)00834-0
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,3.58 K,,Cubic,filled skutterudite,,,,,,,,10.1103/PhysRevB.66.220504
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,,2.8 K,,Cubic,skutterudite,,9.2700 Å,,,,,True,10.1103/PhysRevB.56.7866
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,3.58 K,,Cubic,Filled Skutterudite,,,,,,,FALSE,10.1103/PhysRevLett.100.017002
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,,3.58 K,ambient,Cubic,skutterudite,Im-3 (No. 204),,,,,,FALSE,10.1103/PhysRevB.88.024514
LaRu4Sb12,LaRu4Sb12,,,,SC,,0.74-1.85 K,,,,,,,,,,FALSE,10.1103/PhysRevB.97.014501
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,2.8 K,,Skutterudite,,,,,,,,FALSE,10.1016/j.jmmm.2006.10.023
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,3.3 K,,Skutterudite,,,,,,,,TRUE,10.1016/j.physc.2007.03.131
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,2.8 K,,Skutterudite,Cubic,,9.2781,9.2781,9.2781,,0.46 T,TRUE,10.1016/S0022-3697(98)00292-3
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,3.2 K,,Skutterudite,Cubic,,,,,,,TRUE,10.1016/S0921-4526(01)01260-1
LaRu4Sb12,LaRu4Sb12,Bulk,,,SC,Type-II,3.58 K,,,,,,,,,,FALSE,10.1016/j.physb.2005.01.286
LaRuAsO,LaRuAsO,Bulk,,,NSC,iron-based,NSC,ambient,Tetragonal,1111-type,P4/nmm,4.142,4.142,8.560,,,FALSE,10.1103/PhysRevB.81.184504
LaRuB₂,LaRuB₂,Bulk,,,SC,,7.8 K,,,oP16,,,,,,,TRUE,Handbook of SC
LaRuSn3,LaRuSn3,Bulk,,,NSC,,,,Cubic,LaRuSn3-type,Pm-3n,,,,,,FALSE,10.1103/PhysRevMaterials.6.043401
LaRu₂,LaRu₂,Bulk,,,SC,,4.4 K,,Cubic,Laves phase,,,,,,,TRUE,Handbook of SC
LaRu₂,LaRu₂,Bulk,,,SC,,4.4 K,,,Laves phase,,,,,,,TRUE,Handbook of SC
LaRu₂,LaRu₂,Bulk,,,SC,Type-II,4.4 K,,Tetragonal,body-centered tetragonal,,,,,,,TRUE,Handbook of SC
LaRu₂,LaRu₂,Bulk,,,SC,Type-II,4.416 K,,Cubic,cubic Laves phase,Fd3̄m,7.704 Å,7.704 Å,7.704 Å,,,TRUE,Handbook of SC
LaRu₂P₂.₈₉,LaRu₂P₂.₈₉,Bulk,,,SC,,4.1 K,,Tetragonal,CeAl₂Ga₂ type,I4/mmm,4.031 Å,,10.675 Å,,,TRUE,Handbook of SC
LaRu₂Si₂,LaRu₂Si₂,Bulk,,,SC,Classical,7.60 K,,Hexagonal,LaRu₂Si₂ type,P6₃/m,5.676 Å,5.676 Å,7.120 Å,,,TRUE,Handbook of SC
LaRu₄P₁₂,LaRu₄P₁₂,Bulk,,,SC,,7.2 K,,,skutterudite,,,,,,,TRUE,Handbook of SC
LaRu₄P₁₂,LaRu₄P₁₂,Bulk,,,SC,,7.2 K,,,,,,,,,,TRUE,Handbook of SC
